real_x,real_y,real_yaw,cluster_x,cluster_y,cluster_yaw,densest_x,densest_y,densest_yaw,std_x,std_y,std_yaw
-1461.0527732627338,1601.8730080836956,0.13816998611611986,-1469.8367810801813,1624.2666098690077,6.2606783248045526,-1475.1869202561074,1621.3937688257884,6.267624418787395,515.6726819238039,329.27715454152866,65.31238456377264
-1457.7594998052145,1663.0119669662329,0.13825680049345124,-1468.5229018791445,1681.98358532226,6.259912195216662,-1473.1205248212455,1681.2613064903035,6.26638924921493,537.815748372002,335.0944019932949,62.85940628242042
-1454.4684416746966,1724.1507983603947,0.13828237620028716,-1465.9971292619744,1741.6684165500214,6.259200489781746,-1470.5319748789022,1741.0243580903089,6.264975986670321,548.1147354825342,336.29921770247137,60.631285481495176
-1451.1794983482098,1785.2897848180555,0.1383202809866244,-1462.8317655120552,1811.8086517606025,6.25788115589098,-1468.2377268211635,1801.1862743311312,6.2636352972861555,564.898130513375,335.93296192070994,60.30489545387199
-1447.8926613119704,1846.428865584724,0.13835514960463335,-1461.7860710724365,1861.3682817054412,6.2570600816060145,-1465.7457415661352,1861.1453720118925,6.262469656904865,581.4914325173927,348.01793568407805,56.61422951772813
-1444.6079029237997,1907.568051428281,0.13839016233585344,-1459.0865089909005,1921.4446345083645,6.2562081383412185,-1463.3021188457722,1921.2458422157106,6.261790320874192,594.370074820395,356.25625127980356,56.61372071149237
-1441.3570861192786,1968.7146683877568,0.13827577258428558,-1456.2545866920361,1978.171899532169,6.25549092063309,-1460.7872765934346,1981.1310071297512,6.260993575752739,609.0070591160525,366.5695120263346,55.56029604392004
-1438.4828292208751,2026.3580052003415,0.015084932437495091,-1454.758236692053,2041.8363066112333,6.255430537073358,-1458.487158689047,2040.7910632109842,6.260221879288799,632.3350401372711,371.591761399025,53.40098328038066
-1434.9866064921455,2087.5954367775867,0.003603408195396618,-1452.7694158243792,2101.1738901105828,6.254940844055215,-1456.5031157297526,2101.0615225529864,6.25992220047759,654.5880786144281,378.93880866192234,52.656518049647325
-1428.022058781636,2153.134138101314,0.14307599795425574,-1450.9974077253019,2160.764364058951,6.254830201736543,-1453.346456206456,2161.0970316775592,6.259097669199682,671.0711154386106,376.6566859965605,52.2742220356702
-1423.2374964426756,2212.065585369938,0.16163881642856914,-1449.4502579526247,2225.188450558662,6.254661216101224,-1451.89650677686,2221.350448441669,6.259025681040703,696.2365243556778,381.5033284753986,52.642812703698425
-1422.7190218515038,2266.1732776490944,0.03831961181334975,-1448.2181654468143,2281.005443359095,6.254361165916944,-1448.9548833694355,2281.360487339126,6.257971131194487,714.4113021101437,381.37055457557136,51.50801313549468
-1420.5473147123855,2327.064098729221,0.029931781727396967,-1445.9590852212712,2341.2493925932326,6.254166618817195,-1446.4302085415839,2341.407091283577,6.257600464771683,723.9082741165897,391.4730833842655,51.49793711844982
-1418.501698444553,2388.208084662168,0.02190577092018664,-1443.990179269023,2414.2646846922466,6.253367424256959,-1444.4698998216384,2401.2437458931136,6.2568004283488206,753.6060792703004,397.57118217702407,51.1130392652328
-1415.9427543513118,2449.4196285003104,0.013416252326308609,-1442.9399057437865,2460.5589251375045,6.253294544969388,-1441.843159426285,2461.058911686746,6.256243034885345,783.0524858632039,399.95455189983795,52.24045383619728
-1412.8622504082418,2510.5173507424242,0.005075598249383972,-1440.9397487794192,2520.5883390990384,6.252854675706834,-1439.9334864996588,2521.1890477001143,6.25627594430975,798.345820457022,400.442090079247,52.24525606428831
-1409.2878329598493,2571.5073360154124,6.279606675383697,-1440.9221717246412,2576.615863152258,6.253305283170084,-1435.2549771381118,2581.0522960672997,6.254496205248315,784.0658981493972,405.55405200007135,48.35827568660508
-1402.5609554879786,2637.0352155161418,0.14318305278215693,-1439.9719005310783,2641.472581884983,6.254267847126956,-1431.7136605344608,2640.6022722504813,6.253227795640393,803.6435622077541,408.24679443092316,45.86690545156495
-1399.9753883247852,2694.538150788149,0.014561537417682402,-1438.0523636994633,2699.297781818898,6.253626369204079,-1429.0998160593078,2700.1001790000464,6.2527372666134955,812.9624556310117,409.1666327938695,45.435164978756994
-1396.836559252943,2755.546648907985,0.004332045384236594,-1436.4066456359355,2758.4324511351488,6.254061817193987,-1424.9740829708276,2759.8400898469426,6.251151151161356,833.0972490612756,410.3176497744385,43.22294180284189
-1393.2038797577754,2816.60770722167,6.278712675946804,-1435.198799249574,2824.434268630368,6.253553122819161,-1421.9595134026613,2819.7291351953863,6.250347749249683,857.3087192237185,412.93368000666635,43.22443494061098
-1386.409439554386,2882.1346761966033,0.14243587926567436,-1434.7415234565096,2879.250441800789,6.253960167966256,-1416.5286079242585,2879.2717859524546,6.248071862460251,876.0987315937576,414.93407929530815,42.303868194603375
-1383.7633842808896,2939.680696268558,0.01423669069059219,-1433.881087442511,2938.797793061799,6.254559500275257,-1412.7606052931153,2939.080604207629,6.246939537007335,890.9731619328799,425.31787504756505,37.41216465503218
-1380.5487244175467,3000.8316504305426,0.004288364204791506,-1431.815295767423,3013.655888046287,6.253278965661752,-1411.1806127201337,2998.8504271528345,6.246899578890081,917.0019945351276,432.64306957068305,38.945816481474935
-1376.8527690704032,3061.876771094854,6.277811307999277,-1433.7979001555198,3058.1945876681043,6.2551024356684435,-1408.2083177228715,3058.8714413587177,6.246516945589334,942.6430599823183,436.82762223528414,38.43931403259651
-1361.662680162305,3078.96777728105,4.680073730642644,-1444.2606446367704,3062.6941571635834,4.624922645474237,-1410.6462014533565,3059.6609743146782,4.604148932387352,1080.5577932812855,623.2770013259025,2.5852351195997896
